ID;brand;model;year;price;transmission;mileage;fuelType;tax;mpg;engineSize;numberofpic
1;Audi;Q3;2014;14500.0;Semi-Auto;35423;Diesel;200.0;47.9;2.0;3
2;Audi;Q3;2019;25950.0;Manual;5000;Diesel;145.0;42.8;2.0;3
3;BMW;X2;2020;34990.0;Automatic;2137;Petrol;145.0;34.0;2.0;3
4;Audi;Q3;2016;15495.0;Manual;15541;Diesel;30.0;61.4;2.0;3
5;Opel;Astra;2015;5950.0;Manual;14273;Petrol;20.0;62.8;1.0;3
6;Toyota;Aygo;2015;5500.0;Manual;46500;Petrol;0.0;69.0;1.0;3
7;Skoda;Citigo;2017;6300.0;Manual;27000;Petrol;150.0;64.2;1.0;3
8;BMW;X2;2019;33800.0;Semi-Auto;4291;Petrol;145.0;34.0;2.0;3
9;Toyota;Avensis;2014;7498.0;Manual;37618;Diesel;30.0;62.8;2.0;3
10;BMW;X5;2013;16498.0;Automatic;56003;Diesel;300.0;38.2;3.0;5
11;Audi;A5;2019;31695.0;Automatic;4693;Diesel;145.0;47.1;2.0;3
12;Skoda;Superb;2019;18698.0;Semi-Auto;10;Diesel;145.0;62.8;2.0;3
13;Audi;A6;2013;12000.0;Manual;85100;Diesel;145.0;56.5;2.0;3
14;Audi;A3;2006;3880.0;Manual;87000;Petrol;305.0;36.7;2.0;3
15;Toyota;Aygo;2013;4490.0;Manual;16180;Petrol;0.0;65.7;1.0;3
16;BMW;X3;2019;36990.0;Semi-Auto;5527;Diesel;145.0;48.7;3.0;3
17;Opel;Astra;2018;10999.0;Manual;20000;Petrol;145.0;62.8;1.0;3
18;Audi;Q7;2019;51990.0;Automatic;11586;Diesel;145.0;32.8;3.0;3
19;BMW;X1;2019;25999.0;Semi-Auto;4575;Diesel;145.0;60.1;2.0;3
20;Mercedes;X-CLASS;2019;37891.0;Automatic;303;Diesel;265.0;31.4;3.0;3
21;Skoda;Octavia;2019;18592.0;Manual;12373;Petrol;145.0;36.7;2.0;3
22;Audi;A6;2018;25250.0;Semi-Auto;25800;Diesel;145.0;58.9;2.0;3
23;Audi;Q5;2020;39950.0;Automatic;4500;Diesel;150.0;38.2;2.0;3
24;Audi;A5;2019;31490.0;Automatic;10;Petrol;145.0;39.8;2.0;3
25;BMW;X1;2018;23295.0;Semi-Auto;11570;Petrol;150.0;44.8;2.0;3
26;Toyota;Aygo;2017;7495.0;Manual;11647;Petrol;0.0;68.9;1.0;3
27;Skoda;Octavia;2016;14800.0;Automatic;41092;Diesel;125.0;57.7;2.0;3
28;BMW;X3;2018;29990.0;Semi-Auto;20087;Diesel;145.0;48.7;3.0;3
29;Audi;A6;2019;28000.0;Automatic;3500;Diesel;145.0;50.4;2.0;3
30;Skoda;Octavia;2019;14500.0;Manual;6200;Petrol;150.0;58.9;1.0;3
31;Audi;A3;2014;13995.0;Manual;62049;Diesel;20.0;68.9;2.0;3
32;Audi;Q3;2019;29990.0;Automatic;15484;Petrol;145.0;41.7;2.0;3
33;Skoda;Superb;2017;18995.0;Semi-Auto;13000;Petrol;145.0;45.6;2.0;3
